pais_id,pais,provincia_id,provincia,departamento,localidad,rubro,productos,categoria_id,categoria_desc,Certificadora_id,certificadora_deno,razón social,establecimiento
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,ACELGA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,ACELGA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,BROCOLI,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,BROCOLI,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,HINOJO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,HINOJO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,HABAS,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,HABAS,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,ESPINACA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,ESPINACA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,COLIFLOR,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,COLIFLOR,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,LECHUGA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,LECHUGA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,CEBOLLA DE VERDEO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,CEBOLLA DE VERDEO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,MANZANA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,MANZANA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,HIGOS,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,HIGOS,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,CIRUELA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,CIRUELA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,PERA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,PERA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,DURAZNO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,DURAZNO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,MANDARINA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,MANDARINA,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,POMELO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,POMELO,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,FRUTICULTURA,FORESTALES,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
32,ARGENTINA,6,BUENOS AIRES,ZARATE,LIMA,HORTICULTURA,FORESTALES,1,Productores,2,OIA S.A.,BORCHARDT FRANCISCO,ORGANIC ORCHARD
